"Index Name","Date","Open","High","Low","Close"
"NIFTY PRIVATE BANK","10 Aug 2020","11965.1","12082.35","11913.2","11969.90"
"NIFTY PRIVATE BANK","07 Aug 2020","11812.85","11949.65","11718.7","11930.40"
"NIFTY PRIVATE BANK","06 Aug 2020","11824.8","11977.75","11663.25","11827.40"
"NIFTY PRIVATE BANK","05 Aug 2020","11839.9","11973.1","11715.8","11749.25"
"NIFTY PRIVATE BANK","04 Aug 2020","11597","11772","11469.6","11725.20"
"NIFTY PRIVATE BANK","03 Aug 2020","11802.8","11802.8","11471.7","11493.00"
"NIFTY PRIVATE BANK","31 Jul 2020","11946.25","11969.55","11737.25","11874.75"
"NIFTY PRIVATE BANK","30 Jul 2020","12203.95","12230.25","11864.45","11906.95"
"NIFTY PRIVATE BANK","29 Jul 2020","12161.85","12288.5","12058.45","12147.40"
"NIFTY PRIVATE BANK","28 Jul 2020","12057.55","12228.45","11889.05","12155.70"
"NIFTY PRIVATE BANK","27 Jul 2020","12464.6","12469.3","11978.65","12004.40"
"NIFTY PRIVATE BANK","24 Jul 2020","12512.75","12514.3","12296.1","12457.80"
"NIFTY PRIVATE BANK","23 Jul 2020","12554.2","12669.25","12488.6","12643.05"
"NIFTY PRIVATE BANK","22 Jul 2020","12715.15","12749.75","12439.95","12571.40"
"NIFTY PRIVATE BANK","21 Jul 2020","12422.3","12528.5","12392.1","12489.45"
"NIFTY PRIVATE BANK","20 Jul 2020","12241","12352.25","12177.45","12245.25"
"NIFTY PRIVATE BANK","17 Jul 2020","11868.75","12108.15","11836.6","12057.80"
"NIFTY PRIVATE BANK","16 Jul 2020","11785.95","11895.55","11536.9","11855.75"
"NIFTY PRIVATE BANK","15 Jul 2020","11880.65","12054.6","11646.95","11713.00"
"NIFTY PRIVATE BANK","14 Jul 2020","12020.45","12036.9","11645.35","11740.15"
"NIFTY PRIVATE BANK","13 Jul 2020","12423.15","12448.15","12089.2","12143.50"
"NIFTY PRIVATE BANK","10 Jul 2020","12504.9","12544.05","12258.45","12306.55"
"NIFTY PRIVATE BANK","09 Jul 2020","12558.45","12655.6","12495.75","12606.55"
"NIFTY PRIVATE BANK","08 Jul 2020","12550.4","12740.1","12407.5","12460.15"
"NIFTY PRIVATE BANK","07 Jul 2020","12222.3","12530.95","12117.65","12499.00"
"NIFTY PRIVATE BANK","06 Jul 2020","12219.15","12292.45","12157.6","12175.65"
"NIFTY PRIVATE BANK","03 Jul 2020","12127.3","12145","11936.8","11987.65"
"NIFTY PRIVATE BANK","02 Jul 2020","12137.3","12252.85","12011.6","12043.50"
"NIFTY PRIVATE BANK","01 Jul 2020","11712.9","12089.15","11670.25","12042.30"
"NIFTY PRIVATE BANK","30 Jun 2020","11821.35","11883.8","11636.2","11721.25"
"NIFTY PRIVATE BANK","29 Jun 2020","11684.6","11764.75","11530.9","11718.70"
"NIFTY PRIVATE BANK","26 Jun 2020","11905.75","11950.65","11697.35","11854.60"
"NIFTY PRIVATE BANK","25 Jun 2020","11629.2","11894.4","11461","11782.60"
"NIFTY PRIVATE BANK","24 Jun 2020","12344.95","12346.2","11682.65","11739.45"
"NIFTY PRIVATE BANK","23 Jun 2020","11986.85","12263.9","11880.35","12230.05"
"NIFTY PRIVATE BANK","22 Jun 2020","11777.15","12108.1","11743.15","11902.40"
"NIFTY PRIVATE BANK","19 Jun 2020","11511.3","11767.5","11450.25","11680.25"
"NIFTY PRIVATE BANK","18 Jun 2020","11079","11550.6","11014.35","11513.75"
"NIFTY PRIVATE BANK","17 Jun 2020","11065.3","11346.9","10983.9","11114.55"
"NIFTY PRIVATE BANK","16 Jun 2020","11279","11358.2","10702.2","11155.00"
"NIFTY PRIVATE BANK","15 Jun 2020","11278.35","11287.85","10860.65","10946.30"
"NIFTY PRIVATE BANK","12 Jun 2020","10730.3","11437.35","10728.45","11383.50"
"NIFTY PRIVATE BANK","11 Jun 2020","11547.8","11654.7","11275.1","11313.25"
"NIFTY PRIVATE BANK","10 Jun 2020","11335.15","11640.7","11294.95","11546.35"
"NIFTY PRIVATE BANK","09 Jun 2020","11613.85","11781.05","11261.9","11312.90"
"NIFTY PRIVATE BANK","08 Jun 2020","11712.05","11826.2","11378.35","11545.60"
"NIFTY PRIVATE BANK","05 Jun 2020","11185.4","11485.9","11113.85","11399.70"
"NIFTY PRIVATE BANK","04 Jun 2020","11469.05","11578.15","11095.45","11128.70"
"NIFTY PRIVATE BANK","03 Jun 2020","11526.9","11866.35","11417.65","11485.10"
"NIFTY PRIVATE BANK","02 Jun 2020","11027.35","11326.25","10880.05","11275.05"
"NIFTY PRIVATE BANK","01 Jun 2020","10822.05","11081.5","10770.45","10925.50"
"NIFTY PRIVATE BANK","29 May 2020","10385.45","10614.15","10253.3","10583.15"
"NIFTY PRIVATE BANK","28 May 2020","10344.6","10658","10291.2","10505.40"
"NIFTY PRIVATE BANK","27 May 2020","9606.6","10311.35","9585.4","10220.45"
"NIFTY PRIVATE BANK","26 May 2020","9564.1","9648.75","9439.35","9511.20"
"NIFTY PRIVATE BANK","22 May 2020","9586.65","9798.65","9317.15","9421.55"
"NIFTY PRIVATE BANK","21 May 2020","9800.85","9947.15","9652.8","9697.45"
"NIFTY PRIVATE BANK","20 May 2020","9560.45","9849.7","9520.8","9764.85"
"NIFTY PRIVATE BANK","19 May 2020","9867.4","9947.05","9507.35","9568.85"
"NIFTY PRIVATE BANK","18 May 2020","10293.4","10293.4","9569.95","9603.20"
"NIFTY PRIVATE BANK","15 May 2020","10468.9","10479.9","10229.6","10315.10"
"NIFTY PRIVATE BANK","14 May 2020","10483.05","10599.4","10420.5","10444.75"
"NIFTY PRIVATE BANK","13 May 2020","10944.3","11008.4","10609.5","10718.90"
"NIFTY PRIVATE BANK","12 May 2020","10271.75","10381.55","10006.8","10310.75"
"NIFTY PRIVATE BANK","11 May 2020","10765.4","10838.4","10348.1","10379.25"
"NIFTY PRIVATE BANK","08 May 2020","10897.7","10976.85","10571.95","10613.45"
"NIFTY PRIVATE BANK","07 May 2020","10690.4","10832.25","10587.95","10692.60"
"NIFTY PRIVATE BANK","06 May 2020","10538.65","10851.65","10342.1","10787.10"
"NIFTY PRIVATE BANK","05 May 2020","10964.65","11018.05","10492.85","10526.95"
"NIFTY PRIVATE BANK","04 May 2020","11179.2","11189","10675.15","10733.65"
"NIFTY PRIVATE BANK","30 Apr 2020","11739.85","11981.6","11639","11743.45"
"NIFTY PRIVATE BANK","29 Apr 2020","11091.75","11601.9","11064.95","11455.70"
"NIFTY PRIVATE BANK","28 Apr 2020","11091.9","11298.55","10979.25","11243.55"
"NIFTY PRIVATE BANK","27 Apr 2020","10691.1","10910.6","10679.65","10857.55"
"NIFTY PRIVATE BANK","24 Apr 2020","10588.9","10740.4","10505.5","10542.60"
"NIFTY PRIVATE BANK","23 Apr 2020","10689.75","10964.2","10533.65","10915.55"
"NIFTY PRIVATE BANK","22 Apr 2020","10368.05","10641.1","10233.65","10580.65"
"NIFTY PRIVATE BANK","21 Apr 2020","10673.75","10723","10349.95","10430.70"
"NIFTY PRIVATE BANK","20 Apr 2020","11458.25","11467.85","11039.25","11082.90"
"NIFTY PRIVATE BANK","17 Apr 2020","11009.8","11317.7","10672.4","11212.10"
"NIFTY PRIVATE BANK","16 Apr 2020","10220.7","10508.55","10069.1","10442.65"
"NIFTY PRIVATE BANK","15 Apr 2020","10845.95","10894.6","10130.95","10278.95"
"NIFTY PRIVATE BANK","13 Apr 2020","10658.8","10693","10354.85","10500.90"
"NIFTY PRIVATE BANK","09 Apr 2020","10503.6","10732.6","10276","10695.00"
"NIFTY PRIVATE BANK","08 Apr 2020","10042.45","10909.45","9857.65","10158.40"
"NIFTY PRIVATE BANK","07 Apr 2020","9823.8","10234.75","9569.8","10169.40"
"NIFTY PRIVATE BANK","03 Apr 2020","9753.15","9753.15","9094.95","9157.10"
"NIFTY PRIVATE BANK","01 Apr 2020","10206.1","10225.85","9590.25","9685.10"
"NIFTY PRIVATE BANK","31 Mar 2020","10358.65","10371.8","10021.25","10173.70"
"NIFTY PRIVATE BANK","30 Mar 2020","10317.85","10599.85","10007.15","10089.40"
"NIFTY PRIVATE BANK","27 Mar 2020","11241.15","11586.75","10505.1","10738.15"
"NIFTY PRIVATE BANK","26 Mar 2020","9959.1","10990","9779.6","10556.20"
"NIFTY PRIVATE BANK","25 Mar 2020","8852.3","9906.7","8794.9","9775.85"
"NIFTY PRIVATE BANK","24 Mar 2020","9400.05","9478.5","8487.25","9050.50"
"NIFTY PRIVATE BANK","23 Mar 2020","9859.85","10104.35","8906.05","8974.30"
"NIFTY PRIVATE BANK","20 Mar 2020","10676.9","11234.25","10300.05","10927.90"
"NIFTY PRIVATE BANK","19 Mar 2020","10430.35","11248.1","9994.65","10789.75"
"NIFTY PRIVATE BANK","18 Mar 2020","12193.65","12263","10895.8","11069.65"
"NIFTY PRIVATE BANK","17 Mar 2020","12691.95","12817.65","11981.75","12053.05"
"NIFTY PRIVATE BANK","16 Mar 2020","13147.95","13164.1","12504.6","12557.10"
"NIFTY PRIVATE BANK","13 Mar 2020","12491.65","14009.8","11757.6","13740.55"
"NIFTY PRIVATE BANK","12 Mar 2020","13804.8","13861.5","12996.75","13232.30"
"NIFTY PRIVATE BANK","11 Mar 2020","14365","14684.6","14343.65","14548.00"
"NIFTY PRIVATE BANK","09 Mar 2020","14836.8","14870.95","14212.45","14480.40"
"NIFTY PRIVATE BANK","06 Mar 2020","15232.4","15388.45","14970.85","15259.50"
"NIFTY PRIVATE BANK","05 Mar 2020","15838.8","16042.5","15681.3","15853.45"
"NIFTY PRIVATE BANK","04 Mar 2020","16093.4","16103.8","15495.4","15761.60"
"NIFTY PRIVATE BANK","03 Mar 2020","15930.45","16101.1","15811.3","16054.95"
"NIFTY PRIVATE BANK","02 Mar 2020","16238.9","16300","15698.7","15861.55"
"NIFTY PRIVATE BANK","28 Feb 2020","16119.15","16146.9","15906.25","15953.60"
"NIFTY PRIVATE BANK","27 Feb 2020","16485.35","16492.8","16292.7","16470.70"
"NIFTY PRIVATE BANK","26 Feb 2020","16507.15","16618.25","16413.85","16495.20"
"NIFTY PRIVATE BANK","25 Feb 2020","16662.15","16699.1","16537.75","16589.30"
"NIFTY PRIVATE BANK","24 Feb 2020","16741.8","16756.35","16615.45","16631.35"
"NIFTY PRIVATE BANK","20 Feb 2020","16863.05","16992.7","16778.35","16895.00"
"NIFTY PRIVATE BANK","19 Feb 2020","16867","16890.35","16706.5","16838.70"
"NIFTY PRIVATE BANK","18 Feb 2020","16790.4","16807.85","16538.05","16689.40"
"NIFTY PRIVATE BANK","17 Feb 2020","16885.6","16976.2","16768.7","16808.85"
"NIFTY PRIVATE BANK","14 Feb 2020","17114.05","17185.35","16815","16871.45"
"NIFTY PRIVATE BANK","13 Feb 2020","17365.4","17365.4","17049.9","17083.00"
"NIFTY PRIVATE BANK","12 Feb 2020","17231.6","17347.4","17204.9","17318.95"
"NIFTY PRIVATE BANK","11 Feb 2020","17173.15","17318.7","17167.45","17201.75"
"NIFTY PRIVATE BANK","10 Feb 2020","17220.75","17220.85","17041.25","17081.25"
"NIFTY PRIVATE BANK","07 Feb 2020","17299.6","17302.3","17114.45","17181.50"
"NIFTY PRIVATE BANK","06 Feb 2020","17134.9","17342.5","17046.4","17250.50"
"NIFTY PRIVATE BANK","05 Feb 2020","16977","17119.1","16909.35","17086.35"
"NIFTY PRIVATE BANK","04 Feb 2020","16706.95","16975.85","16688.75","16932.25"
"NIFTY PRIVATE BANK","03 Feb 2020","16419.8","16653.4","16326.9","16605.15"
"NIFTY PRIVATE BANK","01 Feb 2020","16876.6","16986.9","16380.45","16419.70"
"NIFTY PRIVATE BANK","31 Jan 2020","17039.65","17065.6","16901.7","16936.35"
"NIFTY PRIVATE BANK","30 Jan 2020","17004.55","17017.8","16804.2","16869.80"
"NIFTY PRIVATE BANK","29 Jan 2020","17047.55","17124.9","16988.65","17006.85"
"NIFTY PRIVATE BANK","28 Jan 2020","17048.45","17121.1","16914.65","16966.10"
"NIFTY PRIVATE BANK","27 Jan 2020","17145.1","17229.8","16994.35","17009.60"
"NIFTY PRIVATE BANK","24 Jan 2020","17096.65","17284.15","17013.75","17202.20"
"NIFTY PRIVATE BANK","23 Jan 2020","16958.45","17138.45","16900.8","17075.85"
"NIFTY PRIVATE BANK","22 Jan 2020","17150.65","17205.2","16897.65","16931.90"
"NIFTY PRIVATE BANK","21 Jan 2020","17104.2","17222.4","17036.2","17099.60"
"NIFTY PRIVATE BANK","20 Jan 2020","17620.8","17620.8","17143.85","17161.20"
"NIFTY PRIVATE BANK","17 Jan 2020","17461.15","17524.65","17367.95","17444.35"
"NIFTY PRIVATE BANK","16 Jan 2020","17574.8","17664","17505.15","17584.80"
"NIFTY PRIVATE BANK","15 Jan 2020","17667.75","17670.45","17493.85","17572.30"
"NIFTY PRIVATE BANK","14 Jan 2020","17827.75","17851.6","17707.3","17727.25"
"NIFTY PRIVATE BANK","13 Jan 2020","17749.15","17852.55","17711.9","17811.05"
"NIFTY PRIVATE BANK","10 Jan 2020","17825.7","17860.7","17659.65","17729.25"
"NIFTY PRIVATE BANK","09 Jan 2020","17566.85","17818.05","17521.6","17760.50"
"NIFTY PRIVATE BANK","08 Jan 2020","17180.05","17413.15","17132.6","17371.35"
"NIFTY PRIVATE BANK","07 Jan 2020","17481.8","17637.2","17277.2","17384.50"
"NIFTY PRIVATE BANK","06 Jan 2020","17645.35","17649.6","17268.65","17298.90"
"NIFTY PRIVATE BANK","03 Jan 2020","17851.55","17858.4","17669.35","17731.25"
"NIFTY PRIVATE BANK","02 Jan 2020","17734.15","17925.8","17726.85","17913.65"
"NIFTY PRIVATE BANK","01 Jan 2020","17809.1","17875.45","17694.1","17711.65"
"NIFTY PRIVATE BANK","31 Dec 2019","17877.7","17878.95","17736.5","17767.60"
"NIFTY PRIVATE BANK","30 Dec 2019","17927.25","18030.2","17832.7","17884.50"
"NIFTY PRIVATE BANK","27 Dec 2019","17758.45","17902.95","17698.95","17888.40"
"NIFTY PRIVATE BANK","26 Dec 2019","17825.95","17851.55","17669.4","17689.20"
"NIFTY PRIVATE BANK","24 Dec 2019","17837.6","17889.55","17817.9","17840.70"
"NIFTY PRIVATE BANK","23 Dec 2019","17841.9","17905.3","17761.9","17840.60"
"NIFTY PRIVATE BANK","20 Dec 2019","17825.35","17885.5","17778.15","17833.95"
"NIFTY PRIVATE BANK","19 Dec 2019","17844.35","17870.2","17731.45","17824.15"
"NIFTY PRIVATE BANK","18 Dec 2019","17811.9","17863.05","17694.35","17836.85"
"NIFTY PRIVATE BANK","17 Dec 2019","17708.65","17763.25","17653.25","17732.05"
"NIFTY PRIVATE BANK","16 Dec 2019","17746.6","17762.25","17609.1","17646.15"
"NIFTY PRIVATE BANK","13 Dec 2019","17545.5","17721.3","17542.7","17668.15"
"NIFTY PRIVATE BANK","12 Dec 2019","17357.8","17522.45","17348.5","17497.90"
